article	year	views	sections	lines	links
K-nearest_neighbors_algorithm	2020	555701	20	829	211
K-nearest_neighbors_algorithm	2021	547963	20	682	89
K-nearest_neighbors_algorithm	2022	513282	20	684	89
K-nearest_neighbors_algorithm	2023	406334	20	681	87
K-nearest_neighbors_algorithm	2024	410585	20	673	88
K-nearest_neighbors_algorithm	2025	177492	20	678	90
Kalman_filter	2015	298122	37	4607	198
Kalman_filter	2016	683266	38	5083	209
Kalman_filter	2017	686270	38	5111	216
Kalman_filter	2018	760326	38	5208	314
Kalman_filter	2019	701660	43	5253	315
Kalman_filter	2020	661206	45	5513	334
Kalman_filter	2021	723713	45	5671	339
Kalman_filter	2022	644067	49	6031	354
Kalman_filter	2023	663221	49	6105	356
Kalman_filter	2024	661265	49	6131	356
Kalman_filter	2025	398974	49	6303	359
Linear_regression	2015	472333	27	957	504
Linear_regression	2016	968079	28	1206	507
Linear_regression	2017	980848	28	1206	512
Linear_regression	2018	1021055	28	1227	518
Linear_regression	2019	983253	28	943	521
Linear_regression	2020	970720	29	1258	522
Linear_regression	2021	926565	29	1354	522
Linear_regression	2022	830898	31	1365	528
Linear_regression	2023	776531	32	1964	531
Linear_regression	2024	765876	32	1975	535
Linear_regression	2025	378489	37	2303	556
Logistic_regression	2015	446857	39	2766	489
Logistic_regression	2016	1034182	39	2982	488
Logistic_regression	2017	1110672	39	3096	487
Logistic_regression	2018	1053651	41	3571	504
Logistic_regression	2019	1031984	42	4089	528
Logistic_regression	2020	1133824	43	4214	563
Logistic_regression	2021	1032147	44	4268	564
Logistic_regression	2022	925998	44	4207	556
Logistic_regression	2023	838999	55	5827	578
Logistic_regression	2024	795412	55	5850	579
Logistic_regression	2025	388423	56	5837	562
Long_short-term_memory	2015	27571	6	85	26
Long_short-term_memory	2016	176521	6	89	33
Long_short-term_memory	2017	353321	9	530	43
Long_short-term_memory	2018	453487	15	700	74
Long_short-term_memory	2019	550395	16	897	201
Long_short-term_memory	2020	548661	17	905	206
Long_short-term_memory	2021	570919	16	939	208
Long_short-term_memory	2022	565508	16	998	237
Long_short-term_memory	2023	499811	16	1020	245
Long_short-term_memory	2024	456702	17	1027	245
Long_short-term_memory	2025	218332	19	1210	386
PageRank	2015	673976	27	2263	1057
PageRank	2016	651223	27	2194	1056
PageRank	2017	639250	28	2207	1062
PageRank	2018	600513	28	2212	1071
PageRank	2019	621737	33	2259	1080
PageRank	2020	631769	35	1273	151
PageRank	2021	638765	37	1332	152
PageRank	2022	798180	34	1274	147
PageRank	2023	729780	32	1219	141
PageRank	2024	564611	32	1219	136
PageRank	2025	303736	31	1215	135
Principal_component_analysis	2015	427786	46	2113	485
Principal_component_analysis	2016	977303	48	2056	489
Principal_component_analysis	2017	1098049	49	2060	494
Principal_component_analysis	2018	1173772	50	2050	502
Principal_component_analysis	2019	1129399	49	2336	641
Principal_component_analysis	2020	1026774	49	2174	525
Principal_component_analysis	2021	925949	50	2159	527
Principal_component_analysis	2022	943544	43	2131	535
Principal_component_analysis	2023	935659	48	2185	552
Principal_component_analysis	2024	904598	49	2369	695
Principal_component_analysis	2025	411547	50	2428	694
Random_forest	2015	190739	14	431	175
Random_forest	2016	480420	15	449	178
Random_forest	2017	599119	14	440	178
Random_forest	2018	664614	29	1548	188
Random_forest	2019	650436	31	1569	197
Random_forest	2020	643387	31	1572	198
Random_forest	2021	641310	31	1565	190
Random_forest	2022	584371	30	1565	193
Random_forest	2023	491809	30	1566	196
Random_forest	2024	479923	33	1684	197
Random_forest	2025	237805	33	1654	198
Receiver_operating_characteristic	2015	256382	14	944	413
Receiver_operating_characteristic	2016	627734	14	780	417
Receiver_operating_characteristic	2017	696840	13	775	416
Receiver_operating_characteristic	2018	791753	14	1001	601
Receiver_operating_characteristic	2019	756988	14	1015	606
Receiver_operating_characteristic	2020	737370	14	1059	610
Receiver_operating_characteristic	2021	661484	14	1158	608
Receiver_operating_characteristic	2022	597981	15	1213	607
Receiver_operating_characteristic	2023	504930	15	1282	654
Receiver_operating_characteristic	2024	491495	19	1357	660
Receiver_operating_characteristic	2025	241717	19	1308	660
Recurrent_neural_network	2015	110728	20	201	53
Recurrent_neural_network	2016	317081	22	375	199
Recurrent_neural_network	2017	474542	26	533	231
Recurrent_neural_network	2018	564350	29	590	266
Recurrent_neural_network	2019	545874	30	608	271
Recurrent_neural_network	2020	552475	32	624	285
Recurrent_neural_network	2021	501859	32	628	286
Recurrent_neural_network	2022	448332	32	656	306
Recurrent_neural_network	2023	450160	32	655	305
Recurrent_neural_network	2024	429687	33	676	304
Recurrent_neural_network	2025	240715	37	1424	468
Regression_analysis	2015	600520	18	1064	463
Regression_analysis	2016	1276391	18	1073	468
Regression_analysis	2017	1247089	18	1076	475
Regression_analysis	2018	1189387	17	1602	660
Regression_analysis	2019	981825	17	1751	784
Regression_analysis	2020	916818	16	1936	781
Regression_analysis	2021	864406	16	1961	813
Regression_analysis	2022	776455	16	1965	814
Regression_analysis	2023	731780	16	1967	813
Regression_analysis	2024	642184	16	1966	819
Regression_analysis	2025	284626	17	2160	982
Reinforcement_learning	2015	104657	17	784	218
Reinforcement_learning	2016	361166	17	787	239
Reinforcement_learning	2017	549428	20	808	260
Reinforcement_learning	2018	625523	21	833	253
Reinforcement_learning	2019	627784	23	1114	412
Reinforcement_learning	2020	624869	21	1130	403
Reinforcement_learning	2021	582786	22	1179	397
Reinforcement_learning	2022	565019	24	1232	426
Reinforcement_learning	2023	651013	26	1244	435
Reinforcement_learning	2024	580967	27	1294	429
Reinforcement_learning	2025	445017	28	1433	582
Softmax_function	2015	73113	6	366	24
Softmax_function	2016	305204	5	245	24
Softmax_function	2017	499631	7	265	28
Softmax_function	2018	569833	7	330	31
Softmax_function	2019	530004	14	1370	85
Softmax_function	2020	499961	13	1272	76
Softmax_function	2021	449754	13	1318	77
Softmax_function	2022	409077	13	1407	103
Softmax_function	2023	446969	15	1587	247
Softmax_function	2024	435124	16	1609	250
Softmax_function	2025	236384	16	1777	396
Web_crawler	2015	243506	21	397	196
Web_crawler	2016	510631	22	403	203
Web_crawler	2017	538536	23	414	219
Web_crawler	2018	494811	23	423	217
Web_crawler	2019	503114	23	423	216
Web_crawler	2020	582221	24	405	212
Web_crawler	2021	477377	24	405	214
Web_crawler	2022	505743	27	407	219
Web_crawler	2023	505956	26	404	220
Web_crawler	2024	476087	26	404	225
Web_crawler	2025	287064	26	405	225
